country,chain,date,cage_free,barn,aviary,freerange,organic,cagefreenotidentified,cage,insufficientinformation,total,percent,commitment
Australia,Aldi,2025-06,3,1,0,2,0,0,1,0,4,0.75,Has commitment but is not reporting
Australia,Aldi,2026-01,5,2,0,3,0,0,1,0,6,0.8333333333333334,Has commitment but is not reporting
Australia,Coles,2025-06,47,2,0,30,3,12,0,1,48,0.9791666666666666,Has commitment and is reporting
Australia,Coles,2026-01,47,2,0,34,1,10,0,3,50,0.94,Has commitment and is reporting
Australia,Woolworths,2025-06,34,2,0,24,4,4,0,2,36,0.9444444444444444,Has commitment and is reporting
Australia,Woolworths,2026-01,47,6,0,37,0,4,0,2,49,0.9591836734693877,Has commitment and is reporting
Canada,Costco,2025-06,2,0,0,1,1,0,0,4,6,0.3333333333333333,Has commitment and is reporting
Canada,Costco,2026-01,2,0,0,2,0,0,0,4,6,0.3333333333333333,Has commitment and is reporting
Canada,Loblaws,2025-06,17,0,0,12,3,2,0,15,32,0.53125,Has commitment but is not reporting
Canada,Loblaws,2026-01,27,10,0,12,0,5,0,15,42,0.6428571428571429,Has commitment but is not reporting
Canada,Voilà (Sobeys),2025-06,5,0,0,2,2,1,0,10,15,0.3333333333333333,Has commitment and is reporting
Canada,Voilà (Sobeys),2026-01,3,1,0,2,0,0,0,6,9,0.3333333333333333,Has commitment and is reporting
Canada,Walmart,2025-06,5,0,0,4,1,0,0,20,25,0.2,Has commitment and is reporting
Canada,Walmart,2026-01,6,3,0,2,0,1,0,17,23,0.2608695652173913,Has commitment and is reporting
China,Suning,2025-06,94,2,0,59,0,33,1,25,120,0.7833333333333333,Has no commitment and is not reporting
China,Suning,2026-01,71,0,1,64,1,5,0,96,167,0.4251497005988024,Has no commitment and is not reporting
India,Star Bazaar (Trent/Tata),2025-06,2,0,0,2,0,0,0,8,10,0.2,Has no commitment and is not reporting
India,Star Bazaar (Trent/Tata),2026-01,12,0,0,4,1,7,1,68,81,0.14814814814814814,Has no commitment and is not reporting
Indonesia,Hypermart,2025-06,0,0,0,0,0,0,0,1,1,0,Has no commitment and is not reporting
Indonesia,Hypermart,2026-01,0,0,0,0,0,0,0,1,1,0,Has no commitment and is not reporting
Japan,AEON Group,2025-06,1,0,0,1,0,0,0,10,11,0.09090909090909091,Has no commitment and is not reporting
Japan,AEON Group,2026-01,0,0,0,0,0,0,0,11,11,0,Has no commitment and is not reporting
Japan,Tokyu Store Corporation,2025-06,1,0,0,1,0,0,0,16,17,0.058823529411764705,Has no commitment and is not reporting
Japan,Tokyu Store Corporation,2026-01,3,0,0,2,0,1,1,13,17,0.17647058823529413,Has no commitment and is not reporting
Malaysia,Aeon,2025-06,7,0,0,0,4,3,3,53,63,0.1111111111111111,Has commitment but is not reporting
Malaysia,Aeon,2026-01,11,0,0,7,4,0,1,45,57,0.19298245614035087,Has commitment but is not reporting
Malaysia,Jaya Grocer (Trendcell),2025-06,3,0,0,1,1,1,0,16,19,0.15789473684210525,Has commitment but is not reporting
Malaysia,Jaya Grocer (Trendcell),2026-01,5,0,0,2,1,2,0,17,22,0.22727272727272727,Has commitment but is not reporting
Malaysia,Lotus,2025-06,2,0,0,0,0,2,11,21,34,0.058823529411764705,Has commitment and is reporting
Malaysia,Lotus,2026-01,2,1,0,0,0,1,4,25,31,0.06451612903225806,Has commitment and is reporting
Malaysia,Village Grocer (The Food Purveyor),2025-06,6,0,0,2,2,2,0,24,30,0.2,Has commitment but is not reporting
Malaysia,Village Grocer (The Food Purveyor),2026-01,3,0,0,1,2,0,1,13,17,0.17647058823529413,Has commitment but is not reporting
Mexico,Chedraui,2025-06,32,0,0,14,8,10,1,41,74,0.43243243243243246,Has no commitment and is not reporting
Mexico,Chedraui,2026-01,52,0,0,29,13,10,0,38,90,0.5777777777777777,Has no commitment and is not reporting
Mexico,HEB,2025-06,11,0,0,4,2,5,0,47,58,0.1896551724137931,Has no commitment and is not reporting
Mexico,HEB,2026-01,12,0,0,4,3,5,0,71,83,0.14457831325301204,Has no commitment and is not reporting
Mexico,La Comer,2025-06,15,0,0,6,9,0,0,14,29,0.5172413793103449,Has commitment and is reporting
Mexico,La Comer,2026-01,15,0,0,4,10,1,0,12,27,0.5555555555555556,Has commitment and is reporting
