"Country","Retail chain","Total egg products","Percent of products cage-free","Num. cage","Num. unidentified","Num. cage-free","...of which","Commitment"
"Australia","Aldi",4,"75.00%",1,0,3,"Barn = 1<br />Aviary = 0<br />Free-range = 2<br />Organic = 0<br />Cage-free but unidentified = 0
","Has commitment but is not reporting"
"Australia","Coles",48,"97.92%",0,1,47,"Barn = 2<br />Aviary = 0<br />Free-range = 30<br />Organic = 3<br />Cage-free but unidentified = 12
","Has commitment and is reporting"
"Australia","Woolworths",36,"94.44%",0,2,34,"Barn = 2<br />Aviary = 0<br />Free-range = 24<br />Organic = 4<br />Cage-free but unidentified = 4
","Has commitment and is reporting"
"Canada","Costco",6,"33.33%",0,4,2,"Barn = 0<br />Aviary = 0<br />Free-range = 1<br />Organic = 1<br />Cage-free but unidentified = 0
","Has commitment and is reporting"
"Canada","Loblaws",32,"53.12%",0,15,17,"Barn = 0<br />Aviary = 0<br />Free-range = 12<br />Organic = 3<br />Cage-free but unidentified = 2
","Has commitment but is not reporting"
"Canada","Voilà (Sobeys)",15,"33.33%",0,10,5,"Barn = 0<br />Aviary = 0<br />Free-range = 2<br />Organic = 2<br />Cage-free but unidentified = 1
","Has commitment and is reporting"
"Canada","Walmart",25,"20.00%",0,20,5,"Barn = 0<br />Aviary = 0<br />Free-range = 4<br />Organic = 1<br />Cage-free but unidentified = 0
","Has commitment and is reporting"
"China","Suning",120,"78.33%",1,25,94,"Barn = 2<br />Aviary = 0<br />Free-range = 59<br />Organic = 0<br />Cage-free but unidentified = 33
","Has no commitment and is not reporting"
"India","Star Bazaar (Trent/Tata)",10,"20.00%",0,8,2,"Barn = 0<br />Aviary = 0<br />Free-range = 2<br />Organic = 0<br />Cage-free but unidentified = 0
","Has no commitment and is not reporting"
"Indonesia","Hypermart",1,"0.00%",0,1,0,"Barn = 0<br />Aviary = 0<br />Free-range = 0<br />Organic = 0<br />Cage-free but unidentified = 0
","Has no commitment and is not reporting"
"Japan","AEON Group",11,"9.09%",0,10,1,"Barn = 0<br />Aviary = 0<br />Free-range = 1<br />Organic = 0<br />Cage-free but unidentified = 0
","Has no commitment and is not reporting"
"Japan","Tokyu Store Corporation",17,"5.88%",0,16,1,"Barn = 0<br />Aviary = 0<br />Free-range = 1<br />Organic = 0<br />Cage-free but unidentified = 0
","Has no commitment and is not reporting"
